App_Name,App_ID,Sentence
com.google.android.apps.fitness,1,Get to a healthier and more active life with the new Google Fit!
com.google.android.apps.fitness,1,"It's hard to know how much or what kind of activity you need to stay healthy. That's why Google Fit collaborated with the World Health Organization (WHO) and the American Heart Association (AHA) to bring you Heart Points, an activity goal that can help improve your health."
com.google.android.apps.fitness,1,"Activities that get your heart pumping harder have tremendous health benefits for your heart and mind. You'll earn one Heart Point for each minute of moderate activity like picking up the pace when walking your dog, and double points for more intense activities like running. It takes just 30-minutes of brisk walking five days a week to reach the AHA and WHO's recommended amount of physical activity shown to reduce the risk of heart disease, improve sleep, and increase overall mental wellbeing."
com.google.android.apps.fitness,1,Google Fit will also help you:
com.google.android.apps.fitness,1,TRACK YOUR WORKOUTS FROM YOUR PHONE OR WATCH
com.google.android.apps.fitness,1,"Get instant insights when you exercise and see real-time stats for your runs, walks, and bike rides. Fit will use your Android phone's sensors or Wear OS by Google smartwatch's heart rate sensors to record your speed, pace, route, and more."
com.google.android.apps.fitness,1,MONITOR YOUR GOALS
com.google.android.apps.fitness,1,See your daily progress on your Heart Points and Steps goal. Meeting your goals all the time? Easily adjust your goals to keep challenging yourself to achieve a healthy heart and mind.
com.google.android.apps.fitness,1,MAKE ALL YOUR MOVEMENT COUNT
com.google.android.apps.fitness,1,"If you walk, run, or bike throughout the day, your Android phone or Wear OS by Google smartwatch will automatically detect and add your activities to your Google Fit journal to ensure you get credit for every move. Want extra credit? Turn up the tempo on your walks by starting a paced walking workout and stepping to the beat. Enjoy a different type of workout? Select it from a list of activities like pilates, rowing, or spinning, and Google Fit will track all the Heart Points you earn."
com.google.android.apps.fitness,1,CONNECT WITH YOUR FAVORITE APPS AND DEVICES
com.google.android.apps.fitness,1,"Fit can show you info from many of your favorite apps and devices to give you a holistic view of your health, so you'll never lose track of your progress. These include Lifesum, Wear OS by Google, Nike+, Runkeeper, Strava, MyFitnessPal, Basis, Sleep as Android, Withings, Xiaomi Mi bands, and more."
com.google.android.apps.fitness,1,"CHECK IN AT ANYTIME, FROM ANYWHERE"
com.google.android.apps.fitness,1,"See a snapshot of your activity history across Fit and your integrated apps in the redesigned journal. Or, get the full picture in browse, where you can find all of your health and wellness data."
com.google.android.apps.fitness,1,KEEP A FINGER ON THE PULSE OF YOUR HEALTH
com.google.android.apps.fitness,1,"Breathing is one of the simplest ways to reduce tension and relieve stress. With Fit, checking in with your breath is easy—all you need is your phone camera. As well as your respiratory rate, you can measure your heart rate to get a better understanding of your body’s wellbeing."
com.google.android.apps.fitness,1,Learn more about Google Fit and see a list of supported apps at: www.google.com/fit
homeworkout.homeworkouts.noequipment,2,"Home Workouts provides daily workout routines for all your main muscle groups. In just a few minutes a day, you can <b>build muscles and keep fitness at home</b> without having to go to the gym. <b>No equipment</b> or coach needed, all exercises can be performed with just your body weight."
homeworkout.homeworkouts.noequipment,2,"The app has workouts for your <b>abs, chest, legs, arms</b> and <b>butt</b> as well as full body workouts. All the workouts are designed by experts. None of them need equipment, so there's no need to go to the gym. Even though it just takes <b>a few minutes a day</b>, it can effectively tone your muscles and help you get six pack abs at home."
homeworkout.homeworkouts.noequipment,2,"The warm-up and stretching routines are designed to make sure you exercise in a scientific way. With <b>animations and video guidance</b> for each exercise, you can make sure you use the right form during each exercise."
homeworkout.homeworkouts.noequipment,2,"Stick with our home workouts, and you will notice a change in your body in just a few short weeks. 💪 💪 💪"
homeworkout.homeworkouts.noequipment,2,⭐ <b>Features</b> ⭐
homeworkout.homeworkouts.noequipment,2,√ Warm-up and stretching routines
homeworkout.homeworkouts.noequipment,2,√ Records training progress automatically
homeworkout.homeworkouts.noequipment,2,√ The chart tracks your weight trends
homeworkout.homeworkouts.noequipment,2,√ Customize your workout reminders
homeworkout.homeworkouts.noequipment,2,√ Detailed video and animation guides
homeworkout.homeworkouts.noequipment,2,√ Lose weight with a personal trainer
homeworkout.homeworkouts.noequipment,2,√ Share with your friends on social media
homeworkout.homeworkouts.noequipment,2,Bodybuilding App
homeworkout.homeworkouts.noequipment,2,"Looking for a bodybuilding app? No satisfied bodybuilding app? Try our build muscle app! This build muscle app has effective muscle building workout, and all muscle building workout is designed by expert."
homeworkout.homeworkouts.noequipment,2,Strength Training App
homeworkout.homeworkouts.noequipment,2,"It's not only just a build muscle app, but also a strength training app. If you are still looking for muscle building workout, muscle building apps or strength training app, this muscle building apps is the best one you can find among the muscle building apps."
homeworkout.homeworkouts.noequipment,2,Fat Burning Workouts & HIIT Workouts
homeworkout.homeworkouts.noequipment,2,"The best fat burning workouts & hiit workouts for better body shape. Burn calories with fat burning workouts, and combine with hiit workouts to get the best results."
homeworkout.homeworkouts.noequipment,2,Home Workouts for Men
